AuthorYear,ModelingMethod,AISource
Han2023,GPR (Gaussian Process Regression); NMF (Non-negative Matrix Factorization),claude
Han2023,Gaussian process regression (GPR),codex
Han2023,Gaussian process regression,gemini
Han2024A,Gaussian Process Regression (GPR),claude
Han2024A,Gaussian Process Regression (GPR),codex
Han2024A,Gaussian process regression,gemini
Han2024B,Gaussian process regression (GPR),claude
Han2024B,Gaussian process regression (GPR),codex
Han2024B,Gaussian process regression (GPR),gemini
Haukvik2025,Bayesian linear regression with likelihood warping (sinarcsinsh function),claude
Haukvik2025,Warped Bayesian Linear Regression (wBLR),codex
Haukvik2025,Bayesian linear regression with likelihood warping (sinh–arcsinh),codex
Haukvik2025,Bayesian linear regression with likelihood warping (sinarcsinsh function),gemini
Holz2023,Gaussian process regression (GPR),claude
Holz2023,Gaussian Process Regression (GPR) with additive Gaussian noise,codex
Holz2023,GPR,gemini
Hua2025,Yes,claude
Hua2025,ROI-wise linear regression normative modeling (z-score computation),codex
Hua2025,Linear Regression,gemini
Huang2024,"GAMLSS (Generalized Additive Models for Location, Scale, and Shape)",claude
Huang2024,"GAMLSS (Generalized Additive Models for Location, Scale, and Shape) with generalized gamma distribution and natural cubic splines for age",codex
Huang2024,Yes,gemini
Huo2024,Gaussian process regression (GPR),claude
Huo2024,Gaussian Process Regression (sex-specific normative age models),codex
Huo2024,Yes,gemini
Ilioska2024,Gaussian Process Regression (GPR),claude
Ilioska2024,Gaussian Process Regression (GPR),codex
Ilioska2024,Gaussian process regression (GPR),gemini
Italinna2023,Z-score normalization (mean and standard deviation calculated from normative dataset),claude
Italinna2023,Z-score deviation modeling using mean and standard deviation of source-level MEG power spectra from Cam-CAN; age-matched subset comparisons.,codex
Italinna2023,Yes,gemini
Jalbrzikowski2019,Linear mixed-effects model (LME) with inverse age transformation,claude
Jalbrzikowski2019,"Linear mixed effects modeling (AFNI 3dLME) of voxelwise amygdala-seed connectivity with age (linear, inverse, quadratic) in typically developing controls; deviations computed as absolute residuals from the age-associated line of best fit.",codex
Jalbrzikowski2019,Linear Mixed Models (LMM),gemini
Jalbrzikowski2019,Linear Mixed-Effects Models (LME),gemini
Janahi2022,Gaussian process regression (GPR),claude
Janahi2022,Gaussian Process Regression (GPR); compared with Sliding Window Approach (SWA),codex
Janahi2022,Gaussian process regression (GPR),gemini
Janssen2021,Simple normative modeling with mean and standard deviation; Z-score calculation,claude
Janssen2021,PBSI-based normative modeling with Z-scoring of residualized PBSI-SW; longitudinal age effects via GAMM,codex
Janssen2021,GAMM,gemini
Janssen2024,Warped Bayesian Linear Regression (BLR with likelihood warping using B-splines),claude
Janssen2024,"Bayesian linear regression (BLR) with likelihood warping using a B-spline basis (order 3, 5 knots)",codex
Janssen2024,Warped Bayesian linear regression,gemini
Ji2023,General Linear Model (GLM),claude
Ji2023,Vertex-wise general linear model (GLM) with W-score (z-score adjusted for age and gender),codex
Ji2023,General Linear Model (GLM),gemini
Jia2024,Gaussian process regression (GPR),claude
Jia2024,Gaussian Process Regression (GPR),codex
Jia2024,Gaussian Process Regression (GPR),gemini
Jia2025,Gaussian Process Regression (GPR),claude
Jia2025,Gaussian Process Regression (GPR),codex
Jia2025,Gaussian Process Regression (GPR),gemini
Jiang2024,LOESS (Locally Estimated Scatterplot Smoothing; Local polynomial regression fitting process),claude
Jiang2024,LOESS (local polynomial regression),codex
Jiang2024,LOESS,gemini
Jing2023,Second-order polynomial regression (quantile regression),claude
Jing2023,Second-order polynomial regression normative model estimating the 50th percentile (median) with bootstrap CIs; deviations normalized using 5th–95th percentile range; 10-fold cross-validation aggregation.,codex
Jing2023,Yes,gemini
Joo2024,Person-Based Similarity Index (PBSI); Coefficient of Variation (CV); Spearman correlation-based within-group similarity,claude
Joo2024,"Person-Based Similarity Index (PBSI) using Spearman correlations of 308-ROI profiles; PBSI-All aggregates 4 modalities (SA, GMV, CT, LGI)",codex
Joo2024,Person-based similarity index (PBSI),gemini
Kasper2024,Normative modeling using PCNtoolkit; linear regression for aging effects; White test and Goldfeld-Quandt test for heteroscedasticity,claude
Kasper2024,Bayesian linear regression with 5-knot splines and sinh–arcsinh warping (PCNtoolkit),codex
Kasper2024,Bayesian linear regression,gemini
Kia2022,Hierarchical Bayesian regression (HBR),claude
Kia2022,"Hierarchical Bayesian Regression (HBR); mean modeled with linear, cubic polynomial, or cubic B-spline; site-specific homoscedastic variance.",codex
Kia2022,HBR,gemini
Kim2023,Bayesian linear regression with likelihood warping (sinarcsinh transformation),claude
Kim2023,Bayesian linear regression with likelihood warping (BLR-warp); sinarcsinsh transformation,claude
Kim2023,Bayesian linear regression with likelihood warping (sinarcsinsh),codex
Kim2023,Bayesian linear regression with likelihood warping (sinh–arcsinh transformation),codex
Kim2023,,gemini
Kim2024,Bayesian linear regression with likelihood warping (sinarcsinsh transformation),claude
Kim2024,Not reported (uses pre-trained normative model from prior work),codex
Kim2024,Bayesian linear regression with likelihood warping (sinarcsinsh transformation),gemini
Kobbersmed2025,FUNCOIN (Functional Connectivity Integrative Normative Modelling): Covariate-assisted principal regression adapted for normative modeling with bias correction; log-linear heteroscedastic model for covariance matrices,claude
Kobbersmed2025,Covariate-assisted principal regression (FUNCOIN; log-linear model on FC components),codex
Kobbersmed2025,"Functional Connectivity Integrative Normative Modelling (FUNCOIN), an adaptation of covariate-assisted principal regression.",gemini
Kumar2024,Multimodal Soft-Introspective Variational Autoencoder (mmSIVAE) with Mixture-of-Product-of-Experts (MOPOE) latent aggregation,claude
Kumar2024,Multimodal soft-introspective VAE (mmSIVAE) with Mixture-of-Product-of-Experts (MOPOE) aggregation,codex
Kumar2024,Yes,gemini
Kumar2025,Multimodal Variational Autoencoder (mmVAE) with Product-of-Experts (POE),claude
Kumar2025,Deep Learning (Multimodal Variational Autoencoder; mmVAE),codex
Kumar2025,Deep Learning (multimodal variational autoencoder - mmVAE),gemini
Laidi2022,Gaussian process regression (GPR),claude
Laidi2022,Gaussian Process Regression (voxelwise),codex
Laidi2022,Gaussian process regression (GPR),gemini
Lamsma2024,Warped Bayesian linear regression (wBLR),claude
Lamsma2024,Z-score deviations relative to healthy controls (algorithmic details not specified),codex
Lamsma2024,Warped Bayesian linear regression,gemini
Lawn2024,Hierarchical Bayesian regression (HBR),claude
Lawn2024,Hierarchical Bayesian Regression (HBR),codex
Lawn2024,Hierarchical Bayesian Regression (HBR),gemini
Lee2025,"GAMLSS (Generalized Additive Models for Location, Scale and Shape) with SHASH distribution",claude
Lee2025,GAMLSS (SHASH distribution),codex
Lee2025,"GAMLSS (Generalized Additive Model for Location, Scale, and Shape)",gemini
Leenings2024,Nearest Neighbor Algorithm (local density estimation),claude
Leenings2024,Nearest Neighbor Normativity (N^3); local density estimation (kNN) with exponentiated Weibull aggregation; two-layer normativity profiling,codex
Leenings2024,Nearest Neighbor Algorithm (for local density estimation); Exponentiated Weibull distribution (for likelihood conversion),gemini
Leiberg2023,GAMLSS (Generalized Additive Mixed Models),claude
Leiberg2023,GAMM (Generalized Additive Mixed Models),codex
Leiberg2023,Generalised additive mixed models (GAMM),gemini
Lin2023,Quantile polynomial regression (second-order polynomial with bootstrapping),claude
Lin2023,Quantile polynomial regression,codex
Lin2023,Quantile polynomial regression,gemini
Lin2024,Quantile linear regression,claude
Lin2024,Quantile linear regression (5th/50th/95th percentiles); sex-specific age models; aggregated over 10-fold CV,codex
Lin2024,Quantile linear regression,gemini
Little2024,Generalized Additive Model (GAM); z-score normalization,claude
Little2024,Generalized additive model (GAM) for normative mean/variance estimation; ROI-wise z-scoring,codex
Little2024,Generalized Additive Model (GAM),gemini
Little2025,"GAMLSS (Generalized Additive Models for Location, Scale and Shape); sinh-arcsinh (shash) distribution for flexible non-normal modeling; smooth functions (splines) for age effects on all four distribution parameters; hierarchical/mixed effects for site (random) and sex (fixed)",claude
Little2025,Yes,codex
Little2025,"GAMLSS (Generalized Additive Models for Location, Scale and Shape)",gemini
Liu2024,Gaussian process regression (GPR),claude
Liu2024,Gaussian Process Regression (GPR),codex
Liu2024,GPR,gemini
Looden2022,Normative modeling (specific algorithm not explicitly stated; implemented in nispat),claude
Looden2022,Normative modeling (algorithm not explicitly specified),codex
Looden2022,"The paper does not explicitly state the algorithm but mentions it was implemented using the 'nispat' Python library, which typically uses methods like Gaussian Process Regression for normative modeling.",gemini
Loreto2024,HBR (Hierarchical Bayesian Regression),claude
Loreto2024,Hierarchical Bayesian Regression (HBR),codex
Loreto2024,HBR,gemini
Lv2021,Quantile regression,claude
Lv2021,Quantile regression,codex
Lv2021,Quantile regression,gemini
Ma2024,Gaussian process regression (GPR),claude
Ma2024,Gaussian Process Regression (GPR),codex
Ma2024,Gaussian process regression (GPR),gemini
Mansour2025,Spectral Normative Modeling (SNM) based on Hierarchical Bayesian Regression (HBR); Graph Fourier Transform using brain connectivity eigenmodes,claude
Mansour2025,Hierarchical Bayesian Regression (HBR) within the Spectral Normative Modeling framework,codex
Mansour2025,Spectral Normative Modeling (SNM) using Hierarchical Bayesian Regression (HBR),gemini
Mao2025,"GAMLSS (Generalized Additive Models for Location, Scale, and Shape) with second-order polynomial function of age; Box-Cox t (BCT) distribution",claude
Mao2025,GAMLSS (sex-specific); second-order polynomial of age; BCT distribution; bootstrap CIs,codex
Mao2025,GAMLSS; Second-order polynomial function of age,gemini
Martin2025,K-fold cross-validated regression models (as implemented in NOMIS),claude
Martin2025,K-fold cross-validated regression models (as implemented in NOMIS),codex
Martin2025,Regression,gemini
Meijer2024,Warped Bayesian Linear Regression (3-knot B-spline BLR with SinArcsinh likelihood warping and Powell optimization),claude
Meijer2024,Warped Bayesian Linear Regression (wBLR),codex
Meijer2024,Bayesian Linear Regression (BLR) with SinArcinh likelihood warping,gemini
Mendes2024,Deep generative normative modeling using Vector Quantized Variational Autoencoder (VQ-VAE) and Generative Pre-trained Transformer (GPT); Ensemble of 9 GPT models from different serialization views,claude
Mendes2024,Deep generative normative model using VQ-VAE tokenization and GPT (autoregressive Transformer) modeling of typicality likelihood; ensemble across 9 serialized views,codex
Mendes2024,Vector Quantized Variational Autoencoder (VQ-VAE) followed by a Generative Pre-trained Transformer (GPT),gemini
OliveiraSaraiva2023,Deep Learning (Autoencoder),claude
OliveiraSaraiva2023,Deep Learning (Autoencoder),codex
OliveiraSaraiva2023,Deep Learning (Autoencoder),gemini
Parkes2021,Gaussian Process Regression (GPR),claude
Parkes2021,"LOESS/age–sex normative trajectories with out-of-sample diagnostics (EV, error); ridge regression downstream for prediction",codex
Parkes2021,NR,codex
Parkes2021,Gaussian process regression (GPR),gemini
Pinaya2019,Deep autoencoder (semi-supervised denoising autoencoder),claude
Pinaya2019,Deep Learning (semi-supervised denoising autoencoder),codex
Pinaya2019,Deep Autoencoder,gemini
Pinaya2021,Deep Learning (Adversarial Autoencoder),claude
Pinaya2021,Deep Learning (Conditioned Adversarial Autoencoder),codex
Pinaya2021,Adversarial Autoencoder (AAE),gemini
RehakBuckova2025,Warped Bayesian Linear Regression (wBLR) with novel z-diff score extension for longitudinal data,claude
RehakBuckova2025,Warped Bayesian Linear Regression (normative model),codex
RehakBuckova2025,Warped Bayesian Linear Regression (WBLR),gemini
Remiszewski2022,"GAMLSS (Generalized Additive Models for Location, Scale and Shape)",claude
Remiszewski2022,GAMLSS,codex
Remiszewski2022,"GAMLSS (Generalized Additive Models for Location, Scale and Shape)",gemini
Romascano2024,Polynomial regression (low-order polynomials with adaptive degree selection),claude
Romascano2024,Polynomial lifespan models (low-order polynomials with nested F-tests; outlier removal; variance includes measurement uncertainty).,codex
Romascano2024,Polynomial regression,gemini
Rutherford2022,Warped Bayesian linear regression (wBLR),claude
Rutherford2022,Warped Bayesian Linear Regression (wBLR),codex
Rutherford2022,Bayesian Linear Regression (BLR) with likelihood warping,gemini
Rutherford2023,Bayesian Linear Regression (BLR) with likelihood warping (warped BLR),claude
Rutherford2023,Bayesian Linear Regression (with likelihood warping),codex
Rutherford2023,Warped Bayesian Linear Regression,gemini
Sampaio2025,Deep learning autoencoder (AE) with encoder-decoder architecture,claude
Sampaio2025,Deep Learning Autoencoder (AE) for multivariate normative modeling,codex
Sampaio2025,Deep autoencoder (AE),gemini
Savage2024,Bayesian Linear Regression (BLR),claude
Savage2024,Bayesian Linear Regression (voxel-wise normative modelling),codex
Savage2024,Bayesian Linear Regression (BLR),gemini
Segal2023,HBR (Hierarchical Bayesian Regression),claude
Segal2023,Hierarchical Bayesian Regression (HBR),codex
Segal2023,Hierarchical Bayesian regression (HBR),gemini
Segal2025,Warped Bayesian linear regression (wBLR) with likelihood warping,claude
Segal2025,Bayesian linear regression with likelihood warping (warped BLR),codex
Segal2025,Warped Bayesian linear regression with B-spline basis expansion,gemini
Shan2022,Gaussian process regression (GPR),claude
Shan2022,Gaussian Process Regression (GPR) for normative modeling; NMF for feature extraction,codex
Shan2022,Gaussian Process Regression (GPR) for normative modeling; NMF for feature extraction,gemini
Shao2024,B-spline Bayesian linear regression,claude
Shao2024,B-spline Bayesian linear regression (ROI-wise),codex
Shao2024,B-spline Bayesian linear regression,gemini
Sun2023,Gaussian Process Regression (GPR),claude
Sun2023,Gaussian Process Regression (GPR),codex
Sun2023,Yes,gemini
Sun2025,Hierarchical Bayesian regression (HBR),claude
Sun2025,Hierarchical Bayesian Regression (HBR),codex
Sun2025,Hierarchical Bayesian regression (HBR),gemini
Tabbal2025,"Generalized Additive Models for Location, Scale and Shape (GAMLSS)",claude
Tabbal2025,"GAMLSS (Generalized Additive Models for Location, Scale, and Shape)",codex
Tabbal2025,GAMLSS,gemini
Thukral2024,NR (likely Gaussian process regression based on PCN toolkit),claude
Thukral2024,Not specified (PCN toolkit used).,codex
Thukral2024,"The specific algorithm is not explicitly mentioned, but it is based on the PCN toolkit.",gemini
Tong2024,Autoencoder-based reconstruction (deep learning); also compared with PCA-based and regression-based normative modeling,claude
Tong2024,Autoencoder-based normative modeling (unsupervised) on ROI-ROI connectivity,codex
Tong2024,,gemini
Verdi2023,Hierarchical Bayesian Regression (HBR),claude
Verdi2023,Hierarchical Bayesian regression (HBR),codex
Verdi2023,HBR,gemini
Verdi2024,Non-Gaussian Bayesian regression (Warped Bayesian linear regression),claude
Verdi2024,Non-Gaussian Bayesian regression (Warped Bayesian linear regression),codex
Verdi2024,Non-Gaussian Bayesian regression model; Warped Bayesian linear regression,gemini
Vieira2025,Adversarial autoencoder (AAE) for Outlier Index Score; Support vector regression (SVR) for Brain Age,claude
Vieira2025,Deep Learning (Adversarial Autoencoder) for Outlier Index; Linear Support Vector Regression for Brain Age,codex
Vieira2025,Adversarial Autoencoder (AAE); Support Vector Regression (SVR),gemini
VillalonReina2024,Hierarchical Bayesian Regression (HBR),claude
VillalonReina2024,Hierarchical Bayesian Regression (HBR),codex
VillalonReina2024,Hierarchical Bayesian Regression (HBR),gemini
Wang2023,"GAMLSS (Generalized Additive Models for Location, Scale and Shape) with SHASH (Sinh-Arcsinh) distribution",claude
Wang2023,"GAMLSS with SHASH distribution (location, scale, skewness, kurtosis).",codex
Wang2023,GAMLSS,gemini
Wen2025,Gaussian process regression (GPR),claude
Wen2025,Gaussian Process Regression (GPR),codex
Wen2025,Gaussian Process Regression (GPR),gemini
Wolfers2018,Gaussian process regression (GPR),claude
Wolfers2018,Gaussian Process Regression (GPR),codex
Wolfers2018,Gaussian Process Regression,gemini
Wolfers2020,Gaussian process regression (GPR),claude
Wolfers2020,Gaussian Process Regression (GPR),codex
Wolfers2020,Gaussian process regression (GPR),gemini
Wolfers2021,GPR (Gaussian Process Regression),claude
Wolfers2021,Gaussian Process Regression (GPR),codex
Wolfers2021,Gaussian Process Regression (GPR),gemini
Worker2023,Hierarchical Bayesian Regression (federated),claude
Worker2023,Hierarchical Bayesian regression (HBR),codex
Worker2023,Yes,gemini
Wu2023,Hierarchical Bayesian Regression (HBR),claude
Wu2023,Hierarchical Bayesian regression (HBR),codex
Wu2023,Hierarchical Bayesian regression (HBR),gemini
Wu2024,Hierarchical Bayesian regression (HBR),claude
Wu2024,Hierarchical Bayesian regression (HBR),codex
Wu2024,Hierarchical Bayesian regression,gemini
Xiao2024,GPR (Gaussian Process Regression),claude
Xiao2024,Gaussian process regression (GPR),codex
Xiao2024,Gaussian process regression (GPR),gemini
Yang2025,Multivariable fractional polynomial regression (CentileBrain framework),claude
Yang2025,Multivariable Fractional Polynomial Regression (MFPR),codex
Yang2025,Multivariable fractional polynomial regression,gemini
Young2024,"GAMLSS (Generalized Additive Models for Location, Scale and Shape)",claude
Young2024,GAMLSS (multivariate) selected via 5-fold CV; OLS and MFP compared.,codex
Young2024,"GAMLSS (Generalized Additive Models of Location, Shape, and Scale)",gemini
Yu2024,Gaussian process regression (GPR),claude
Yu2024,Gaussian Process Regression (voxelwise).,codex
Yu2024,Gaussian process regression (GPR),gemini
Zabihi2019,GPR (Gaussian Process Regression),claude
Zabihi2019,Gaussian Process Regression (GPR),codex
Zabihi2019,Gaussian process regression (GPR),gemini
Zabihi2020,Gaussian Process Regression (GPR),claude
Zabihi2020,Gaussian Process Regression (GPR) normative modeling (vertex-wise CT),codex
Zabihi2020,Gaussian Process Regression (GPR) normative modeling (vertex-wise CT),codex
Zabihi2020,Gaussian process regression (GPR),gemini
Zhang2022,General Linear Model (GLM),claude
Zhang2022,GLM-based W-score normative modeling,codex
Zhang2022,General linear model (GLM),gemini
Zhang2023,Multivariate linear regression with polynomial age terms,claude
Zhang2023,ROI-wise linear regression with quadratic age term (GMV ~ age + age^2 + gender + TIV),codex
Zhang2023,Yes,gemini
Zheng2024,Quantile regression,claude
Zheng2024,"Quantile regression (normative modeling with 5th, 50th, 95th percentiles)",codex
Zheng2024,Quantile regression,gemini
