authorYear	phase	N	age_mean	age_sd	age_min	age_max	female_pct	modality	origin	dataset	disease
Segal2023	Uninvestigated	1465			18.0	64.0	45.5	T1w MRI	New	Multi-site aggregated dataset (ABIDE I;ABIDE II;ASRB;FEMS;MON;IMpACT-NL;KANMDD;MITASD;OCDPG;RUSMDD;SPAINOCD;TOP15;WASHASD;YoDA)	Attention-Deficit/Hyperactivity Disorder (ADHD);Autism Spectrum Disorder (ASD);Bipolar Disorder (BD);Major Depressive Disorder (MDD);Obsessive-Compulsive Disorder (OCD);Schizophrenia (SCZ)
Segal2023	Overall	1465			18.0	64.0	45.5	T1w MRI	New	Multi-site aggregated dataset (ABIDE I;ABIDE II;ASRB;FEMS;MON;IMpACT-NL;KANMDD;MITASD;OCDPG;RUSMDD;SPAINOCD;TOP15;WASHASD;YoDA)	Attention-Deficit/Hyperactivity Disorder (ADHD);Autism Spectrum Disorder (ASD);Bipolar Disorder (BD);Major Depressive Disorder (MDD);Obsessive-Compulsive Disorder (OCD);Schizophrenia (SCZ)
Kim2023	Uninvestigated	27117	54.36	20.31	3.0	85.0	53.0	Others;T1w MRI	New	Multi-site aggregated dataset (ABIDE;ADHD200;AOMIC ID1000;Beijing Enhanced;Cam-CAN;CoRR;DLBS;DS000119;DS000202;DS000222;Fcon1000;HBN;HCP;MPI Lemon;NKI-Rockland;OASIS-3;PING;SALD;SLIM;UK Biobank;and 100+ other studies)(Total 132)	Autism Spectrum Disorder (ASD);Mild Cognitive Impairment (MCI);Alzheimer's Disease (AD);Bipolar Disorder (BD);Schizophrenia (SCZ)
Lawn2024	Uninvestigated	424	48.42	18.81	18.0	87.0	48.1	T1w MRI;fMRI	New	Cam-CAN;UCLA Phenomics	Schizophrenia (SCZ);Bipolar Disorder (BD);Attention-Deficit/Hyperactivity Disorder (ADHD)
Verdi2024	Uninvestigated	29418	46.9	24.4	2.0	100.0	51.1	T1w MRI	Pre-trained	See Rutherford2022	Alzheimer's Disease (AD);Mild Cognitive Impairment (MCI)
Xiao2024	Uninvestigated	409	24.6	3.8	18.0	43.0	50.4	Others;T1w MRI;fMRI	New	Healthy dataset (Peking University Center for MRI Research, HCtrain)	Major Depressive Disorder (MDD);Bipolar Disorder (BD);Schizophrenia (SCZ)
Young2024	Uninvestigated	2374	36.75	21.92		100.0	53.9	T1w MRI	New	HCP Development;HCP Young Adult;HCP Aging;HCP Early Psychosis (controls);UCLA LA5c (controls);ADNI (controls);OpenNeuro ds004302 (SCZ AH, controls)	Alzheimer's Disease (AD);Schizophrenia (SCZ)
Young2024	Overall	2374	36.75	21.92		100.0	53.9	T1w MRI	New	HCP Development;HCP Young Adult;HCP Aging;HCP Early Psychosis (controls);UCLA LA5c (controls);ADNI (controls);OpenNeuro ds004302 (SCZ AH, controls)	Alzheimer's Disease (AD);Schizophrenia (SCZ)
Mendes2024	Uninvestigated	6756	9.9	0.62	9.0	10.9		Others;T1w MRI	New	Adolescent Brain Cognitive Development (ABCD)	Autism Spectrum Disorder (ASD);Attention-Deficit/Hyperactivity Disorder (ADHD)
Mendes2024	Overall	6756						Others;T1w MRI	New	Adolescent Brain Cognitive Development (ABCD)	Autism Spectrum Disorder (ASD);Attention-Deficit/Hyperactivity Disorder (ADHD)
Leenings2024	Uninvestigated	29883	48.45	12.09	22.0	72.0	44.2	T1w MRI	New		Mild Cognitive Impairment (MCI);Alzheimer's Disease (AD);Frontotemporal Dementia (FTD)
Yang2025	Uninvestigated	457	10.44	3.11	3.0	18.0	47.3	T1w MRI	New	developing Chinese Color Nest Project (devCCNP)	Self-Limited Epilepsy with Centrotemporal Spikes (SeLECTS)
Thukral2024	Uninvestigated	29418	46.9	24.4	2.0	100.0	51.1	T1w MRI;fMRI	Pre-trained		First-Episode Psychosis (FEP)
Shan2022	Uninvestigated	564	15.12	9.45	5.8	64.0	30.1	T1w MRI	New	ABIDE II (reference normative cohort);ABIDE I (application)	Autism Spectrum Disorder (ASD)
Geng2025	Uninvestigated	219	4.42	1.62	1.17	7.0	51.1	T1w MRI	New		Autism Spectrum Disorder (ASD);Dd/Id Only
Hua2025	Uninvestigated	90	2.0	4.08	16.0	35.0	41.1	T1w MRI	New	UCSF early psychosis clinic cohort;HCP Early Psychosis	Clinical High Risk for Psychosis (CHR-P);Schizophrenia (SCZ);Non-Affective Psychosis (NAff-P);Affective Psychosis (Aff-P)
Remiszewski2022	Uninvestigated	29418	46.9	24.4	2.0	100100.0	51.1	T1w MRI;T2w MRI	Pre-trained		Schizophrenia (SCZ)
RehakBuckova2025	Uninvestigated	29418	46.9	24.4	2.0	100.0	51.1	T1w MRI	Pre-trained	See Rutherford2022	Schizophrenia (SCZ);Brief Psychotic Disorder (ACUTE AND TRANSIENT PSYCHOTIC DISORDERS)
Jalbrzikowski2019	Uninvestigated	622	17.06	3.27	10.0	25.0	47.4	fMRI	New	Luna 1;Luna 2;PNC;Pitt	Psychosis Spectrum Disorders (PSD);First-Episode Psychosis (FEP);Other Psychopathology (NON-PSYCHOTIC)
Savage2024	Train	7728			49.63	20.76		fMRI	New	UK Biobank;HCP Young Adult;HCP Development;AOMIC PIOP2;Duke Neurogenetics Study (DNS);MIND-Set (controls)	Autism Spectrum Disorder (ASD);Attention-Deficit/Hyperactivity Disorder (ADHD);Mood Disorders;Anxiety Disorders;Neurodivergence (CO-OCCURRING POSSIBLE)
Savage2024	Overall	7728			49.63	20.59		fMRI	New	UK Biobank;HCP Young Adult;HCP Development;AOMIC PIOP2;Duke Neurogenetics Study (DNS);MIND-Set (controls)	Autism Spectrum Disorder (ASD);Attention-Deficit/Hyperactivity Disorder (ADHD);Mood Disorders;Anxiety Disorders;Neurodivergence (CO-OCCURRING POSSIBLE)
Liu2024	Uninvestigated	104	23.14	5.64			51.0	fMRI	New	Single-center dataset from First Affiliated Hospital of Zhengzhou University	Obsessive-Compulsive Disorder (OCD)
Wu2024	Uninvestigated	524	36.77	14.18	12.0	77.0	62.8	T1w MRI	New	REST-meta-MDD	Major Depressive Disorder (MDD)
Gordaliza2024	Uninvestigated	37407	39.88	23.47	3.0	90.0	53.4	T1w MRI;T2w MRI	Pre-trained	Multi-site aggregated dataset (87 datasets;ENIGMA Lifespan WG and collaborators)	Multiple Sclerosis (MS)
Italinna2023	Uninvestigated	621			18.0	87.0		MEG;T1w MRI	New	Cam-CAN	Mild Traumatic Brain Injury (mTBI)
Ebadi2024	Uninvestigated	448	9.99	3.06	5.0	18.0	48.0	EEG;Others	New		Attention-Deficit/Hyperactivity Disorder (ADHD);Autism Spectrum Disorder (ASD);Anxiety Disorder (ANX);Learning Disorder (LD)
Someone20XX	Uninvestigated										
Sun2023	Uninvestigated	1079	33.96		11.0	93.0	54.1	fMRI	New		Major Depressive Disorder (MDD)
OliveiraSaraiva2023	Uninvestigated	366	26.0		18.0	49.0		fMRI	New	CoRR;UCLA LA5c;COBRE	Schizophrenia (SCZ);Bipolar Disorder (BD);Attention-Deficit/Hyperactivity Disorder (ADHD)
Lin2023	Uninvestigated	289	28.83	9.19	18.0	50.0	57.1	Others;fMRI	New		Major Depressive Disorder (MDD)
Wang2023	Uninvestigated	998	14.6				27.7	T1w MRI	New	ABIDE-I;ABIDE-II;KQJH	Autism Spectrum Disorder (ASD)
Kumar2025	Uninvestigated	326	71.5	7.2			52.7	Others;PET;T1w MRI	New	ADNI	Alzheimer's Disease (AD)
Chan2025A	Uninvestigated	321	10.6	1.8	5.9	13.9	0.0	fMRI	New		Autism spectrum disorder (ASD) males
